horizon,mae,rmse,r2
3,2.7214304768250828,3.1870025764893146,-1.8566521500920548
5,3.0304055744751794,3.314253325790231,-3.903694244424825
7,3.4426423961606196,3.6842892459290626,-0.03925839864962288
30,18.465484995315986,23.26481945870594,-91.53925569938531
3,6.3883699716510876,6.6198321728672305,-196.1998009861763
5,7.394724939880675,7.634409202328467,-103.07893547963855
7,9.395358507701024,10.058657907542685,-176.0590480766992
30,49.81500544165767,58.35205044911115,-2620.441926821258
3,7.1061183150931155,7.149268884600423,-9.952581196639096
5,10.061660529330691,10.735375415845464,-37.935231526736196
7,13.299749886529797,14.661930721527753,-76.45322361515505
30,70.0949783863627,80.34240072461239,-2718.7618065424995
3,1.9033131747408099,2.2400043065158743,-0.736868216880268
5,1.4649563978046385,1.8087160589446587,-0.2779116335485541
7,1.3600008135939796,1.7192013261512658,-0.18710661305060072
30,6.494721971484826,7.668211223272954,-27.824246747416325
3,1.1613671135819765,1.341735909405723,-1.700382875883204
5,1.6423282705783375,1.9326032042784824,-5.669562759263316
7,2.5047813253937727,2.9838299115390834,-15.779184850337362
30,29.96192469189023,36.10335564502817,-1089.248196977926
3,1.7616755062139686,1.902339456504491,-15.285029334982113
5,2.776138695129191,3.455065364177756,-5.4877590601852
7,3.6721328282398535,4.379269782519747,-11.364765626005747
30,25.547890021050573,31.196563886319613,-263.7032452347836
3,2.733588724996121,3.1276055538796546,0.1016607295313291
5,4.310642849872253,5.0717976323725065,-1.3817714096054963
7,6.174224925953232,7.244211471319837,-4.494554256877979
30,30.53283557626872,34.99898283594559,-330.16128554993475
3,2.0416662630905256,2.1476825293832684,-1.3062701235090572
5,2.700437027879778,3.1419267187586155,-2.5256083950176
7,5.9420994923017645,7.998375755084696,-18.114187324736637
30,65.61704107884812,80.71294705257212,-2461.461923444007
3,1.6791008305386905,1.824091180337299,-0.15176068106380347
5,2.6219768140183235,2.972803370302689,-1.350414861298677
7,3.3114136774447442,3.6861426280711314,-3.059723940546794
30,13.964797520812683,21.513152760980688,-166.68686294104742
3,5.9664661698064565,6.499696716048341,-6.041009566768263
5,6.578754088919749,7.096501943175479,-8.257415409833335
7,7.66824386367797,8.196419121345128,-14.826360741465631
30,15.05927483899141,19.31412483561884,-168.90479572332077
3,2.806389210587984,3.209086570604251,-5.6202949684780705
5,3.5332852921748183,3.8488186684233745,-13.243658790773344
7,4.504062339391276,4.97241482428487,-29.288013751340713
30,10.188706594962863,12.794238636901195,-108.94275228968493
